authorDisplayName;textDisplay;clean_comment;;
@SarahVirtyTami-uh2mw;Turun lagi tu;turun lagi tu;;
@rahmatbudiarto3401;@@SarahVirtyTami-uh2mw Iya. Klo turun lagi, serok lagi mumpung baru gajian. Setting aj auto beli di harga terendah..😄;sarahvirtytamiuhmw iya klo turun lagi serok lagi mumpung baru gajian setting aj auto beli di harga terendah;;
@nrwardah5843;ge mana cara setting nya mas?;ge mana cara setting nya mas;;
@Ferdiantt25;Gw yg nyangkut di 2860😢;gw yg nyangkut di;;
@ilfardonuta6217;3600 msih tenang 😂;msih tenang;;
@arenansyah2277;Sabar saya di 34** belum AVG down ..tnggi momentum dan dana 🤭;sabar saya di belum avg tnggi momentum dan dana;;
@BasBay;3400 nyimak 😎;nyimak;;
@khalidujungbatu4920;Bang bahas ADRO juga;bang bahas adro juga;;
@darmaputragusti9252;Lagi crash...;lagi crash;;
@arifyoga4518;16% gede  coy;gede coy;;
@widinurwicaksana7121;TLKM dong ko will;tlkm dong ko;;
@nabilahumairanazra;Laporan keuangan saham maha dong ko😊;laporan keuangan saham maha dong ko;;
@korneliussuhendra1511;Aku masih wait n see.... nunggu turun lagi;aku masih wait n see nunggu turun lagi;;
@b.p.6763;Sabar... Emiten batu bara masih akan turun lagi...;sabar emiten batu bara masih akan turun lagi;;
@maseohmase;Masih hold avg3500;masih hold avg;;
@andrianyahandri9477;Saya di 3300😢;saya di;;
@heroemuiman800;Hold... long term😊 dividen investing.;hold long term dividen investing;;
@Mankdolz;Average down bang;average bang;;
@ilfardonuta6217;3600 sebelumnya 3800 😂;sebelumnya;;
@zain14245;AVG 2800;avg;;
@riderpride9248;Turun? Ya serok. Kpan lgi john turun. Ntar kl uda naik ya udah diversifikasi lainnya;turun ya serok kpan lgi john turun ntar kl uda naik ya udah diversifikasi lainnya;;
@wahyuaari3440;Msh pantau ptba...;msh pantau ptba;;
@BasBay;Makasih ko wil.siap&quot;;;
@Mankdolz;Sama 😂;sama;;
@sucilestari470;Mantaapppp;mantaapppp;;
@juridislev581;keren;keren;;
@BasBay;Wkwkkw 😂😂;wkwkkw;;
@pirwansamsung907;Beli gorengan aja gurih;beli gorengan aja gurih;;
@edwinfajar7057;Ditunggu di 2000;ditunggu di;;
@yusupsupyan6331;Bahas adro ko;bahas adro ko;;
@masbayu9601;Kamis serok BBRI di 4920<br>Hari ini serok adro di 2550, ptba 2590<br><br>Semoga sebulan kedepan bisa turun lagi biar bisa nambahin muatan😁;kamis serok bbri di brhari ini serok adro di ptba brbrsemoga sebulan kedepan bisa turun lagi biar bisa nambahin muatan;;
@tjoevandie;Doamu dikabulkan hari ini 2360;doamu dikabulkan hari ini;;
@masbayu9601;@@tjoevandie tadi bisa nambahin muatan tapi ngga banyak, amunisi tipis😁;tjoevandie tadi bisa nambahin muatan tapi ngga banyak amunisi tipis;;
@tjoevandie;@@masbayu9601 aku juga masuk di harga 2400;masbayu aku juga masuk di harga;;
@luluthardiyani9724;Hari senin ini 2x beli ptba di harga 2650 &amp;;;
@Mankdolz;Wawwww 200 lot 😂;wawwww lot;;
@user-jh9sc7lw9d;belinya cicil kak jangan langsung all in hehe, mantep bener 200 lot;belinya cicil kak jangan langsung hehe mantep bener lot;;
